GEOID,NAME,total_incomeE,total_incomeM,ratio_halfE,ratio_halfM,ratio_oneE,ratio_oneM,med_grs_rentE,med_grs_rentM
"24005402505","Census Tract 4025.05, Baltimore County, Maryland",3233,421,41,42,283,248,1007,91
"24005402604","Census Tract 4026.04, Baltimore County, Maryland",5593,470,132,106,566,472,1567,543
"24005403601","Census Tract 4036.01, Baltimore County, Maryland",4723,229,16,25,140,81,1282,172
"24005404502","Census Tract 4045.02, Baltimore County, Maryland",3777,321,216,175,399,273,815,317
"24005404800","Census Tract 4048, Baltimore County, Maryland",2031,134,0,12,15,17,,
"24005406000","Census Tract 4060, Baltimore County, Maryland",5545,323,61,73,55,44,,
"24005408800","Census Tract 4088, Baltimore County, Maryland",2374,165,111,85,100,100,1106,98
"24005410100","Census Tract 4101, Baltimore County, Maryland",5445,417,210,146,66,87,896,556
"24005402302","Census Tract 4023.02, Baltimore County, Maryland",5198,382,79,55,207,104,1126,53
"24005400600","Census Tract 4006, Baltimore County, Maryland",2671,264,81,71,207,112,941,56
"24005440200","Census Tract 4402, Baltimore County, Maryland",2389,216,31,25,201,134,1092,86
"24005420900","Census Tract 4209, Baltimore County, Maryland",3206,308,229,119,437,167,909,185
"24005421101","Census Tract 4211.01, Baltimore County, Maryland",2892,295,115,70,202,135,841,36
"24005421200","Census Tract 4212, Baltimore County, Maryland",1673,121,85,70,49,35,896,69
"24005440900","Census Tract 4409, Baltimore County, Maryland",3653,328,291,202,272,133,1009,54
"24005441102","Census Tract 4411.02, Baltimore County, Maryland",4843,431,425,298,222,177,1155,136
"24005450503","Census Tract 4505.03, Baltimore County, Maryland",5399,595,396,200,301,147,1044,60
"24005450800","Census Tract 4508, Baltimore County, Maryland",3789,438,452,397,524,351,913,51
"24005451900","Census Tract 4519, Baltimore County, Maryland",2420,292,106,95,53,40,1149,59
"24005490302","Census Tract 4903.02, Baltimore County, Maryland",2333,141,130,118,74,50,1303,117
"24005490400","Census Tract 4904, Baltimore County, Maryland",1644,150,38,31,14,12,1370,182
"24005490500","Census Tract 4905, Baltimore County, Maryland",3648,262,83,58,24,36,1609,104
"24005490603","Census Tract 4906.03, Baltimore County, Maryland",2151,164,51,27,30,32,1098,164
"24005490703","Census Tract 4907.03, Baltimore County, Maryland",3188,282,143,100,48,48,1551,172
"24005450100","Census Tract 4501, Baltimore County, Maryland",4040,241,131,101,131,87,684,19
"24005450400","Census Tract 4504, Baltimore County, Maryland",2058,184,170,90,77,76,1000,321
"24005451600","Census Tract 4516, Baltimore County, Maryland",2163,159,83,56,109,77,1174,61
"24005490601","Census Tract 4906.01, Baltimore County, Maryland",2147,95,3,7,0,12,1596,267
"24005490900","Census Tract 4909, Baltimore County, Maryland",4369,456,333,249,462,270,1152,45
"24005491201","Census Tract 4912.01, Baltimore County, Maryland",1843,222,99,70,42,27,1204,61
"24005492001","Census Tract 4920.01, Baltimore County, Maryland",1531,170,19,31,50,42,1158,157
"24005492101","Census Tract 4921.01, Baltimore County, Maryland",3512,201,194,119,129,85,1098,45
"24005420702","Census Tract 4207.02, Baltimore County, Maryland",2012,232,130,135,140,81,877,161
"24005420302","Census Tract 4203.02, Baltimore County, Maryland",2704,223,118,80,84,52,1159,92
"24005420500","Census Tract 4205, Baltimore County, Maryland",3172,349,122,75,225,118,1152,105
"24005420701","Census Tract 4207.01, Baltimore County, Maryland",3617,511,257,204,226,168,949,23
"24005421300","Census Tract 4213, Baltimore County, Maryland",2798,378,420,204,203,101,858,25
"24005430200","Census Tract 4302, Baltimore County, Maryland",2870,278,404,262,151,108,1037,271
"24005440701","Census Tract 4407.01, Baltimore County, Maryland",6559,617,430,271,457,314,1073,56
"24005440702","Census Tract 4407.02, Baltimore County, Maryland",5090,444,106,129,81,64,1430,64
"24005450200","Census Tract 4502, Baltimore County, Maryland",3277,280,133,67,110,90,788,658
"24005450504","Census Tract 4505.04, Baltimore County, Maryland",5266,738,177,170,586,311,866,28
